name,time,speech
Vice President Joe Biden,2020-09-30 01:14:21,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.
President Donald J. Trump,2020-09-30 01:14:23,With what?
Vice President Joe Biden,2020-09-30 01:14:23,And tonight I’m going to make sure.
President Donald J. Trump,2020-09-30 01:14:25,With what?
Vice President Joe Biden,2020-09-30 01:14:25,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar."
President Donald J. Trump,2020-09-30 01:14:34,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class."
Vice President Joe Biden,2020-09-30 01:14:41,"God, I want to make sure-"
Chris Wallace,2020-09-30 01:14:43,"Mr. President, can you let him finish, sir?"
Vice President Joe Biden,2020-09-30 01:14:44,"No, he doesn’t know how to do that."
President Donald J. Trump,2020-09-30 01:14:46,"You’d be surprised. You’d be surprised. Go ahead, Joe."
Vice President Joe Biden,2020-09-30 01:14:47,"The wrong guy, the wrong night, at the wrong time."
President Donald J. Trump,2020-09-30 01:14:51,"Listen, you agreed with Bernie Sanders and the manifesto."
Vice President Joe Biden,2020-09-30 01:14:55,"There is no manifesto, number one."
Chris Wallace,2020-09-30 01:14:57,"Please let him speak, Mr. President."
Vice President Joe Biden,2020-09-30 01:14:58,Number two.
President Donald J. Trump,2020-09-30 01:14:58,He just lost the left.
Vice President Joe Biden,2020-09-30 01:14:59,Number two.
President Donald J. Trump,2020-09-30 01:15:01,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan , they call it socialized medicine."
Chris Wallace,2020-09-30 01:15:13,Mr. President.
Vice President Joe Biden,2020-09-30 01:15:14,"I’ll tell you what, he is not for any help for people needing healthcare."
President Donald J. Trump,2020-09-30 01:15:20,"Who is, Bernie?"
Vice President Joe Biden,2020-09-30 01:15:21,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away."
President Donald J. Trump,2020-09-30 01:15:41,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
Vice President Joe Biden,2020-09-30 01:15:45,He doesn’t know how. He doesn’t know how to do that.
President Donald J. Trump,2020-09-30 01:15:46,I’ve already fixed it.
Vice President Joe Biden,2020-09-30 01:15:47,He has never offered a plan.
President Donald J. Trump,2020-09-30 01:15:49,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good."
Chris Wallace,2020-09-30 01:15:54,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir."
President Donald J. Trump,2020-09-30 01:15:59,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better."
Chris Wallace,2020-09-30 01:16:42,"I understand that, sir. But I have to give you roughly equal time."
President Donald J. Trump,2020-09-30 01:16:45,Go ahead.
Chris Wallace,2020-09-30 01:16:45,"Please let the Vice President talk, sir."
President Donald J. Trump,2020-09-30 01:16:47,Good.
Vice President Joe Biden,2020-09-30 01:16:48,He has no plan for healthcare.
President Donald J. Trump,2020-09-30 01:16:50,"Of course, we do."
Chris Wallace,2020-09-30 01:16:52,Please.
Vice President Joe Biden,2020-09-30 01:16:52,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. ."
Chris Wallace,2020-09-30 01:17:13,"All right, I have one final question for you."
Vice President Joe Biden,2020-09-30 01:17:15,Sure.
Chris Wallace,2020-09-30 01:17:16,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
Vice President Joe Biden,2020-09-30 01:17:55,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel."
President Donald J. Trump,2020-09-30 01:18:05,Are you going to pack the court?
Vice President Joe Biden,2020-09-30 01:18:07,Vote now.
President Donald J. Trump,2020-09-30 01:18:08,Are you going to pack the court?
Vice President Joe Biden,2020-09-30 01:18:09,"Make sure you, in fact, let people know, your Senators."
President Donald J. Trump,2020-09-30 01:18:12,He doesn’t want to answer the question.
Vice President Joe Biden,2020-09-30 01:18:17,I’m not going to answer the question.
President Donald J. Trump,2020-09-30 01:18:18,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.
Vice President Joe Biden,2020-09-30 01:18:18,"Will you shut up, man?"
President Donald J. Trump,2020-09-30 01:18:20,"Listen, who is on your list, Joe? Who’s on your list?"
Chris Wallace,2020-09-30 01:18:23,"Gentlemen, I think we’ve ended this-"
Vice President Joe Biden,2020-09-30 01:18:25,This is so un-Presidential.
President Donald J. Trump,2020-09-30 01:18:25,He’s going to pack the court. He is not going to give a list.
Chris Wallace,2020-09-30 01:18:27,We have ended the segment. We’re going to move on to the second segment.
Vice President Joe Biden,2020-09-30 01:18:30,"That was really a productive segment, wasn’t it? Keep yapping, man."
President Donald J. Trump,2020-09-30 01:18:35,"The people understand, Joe."
Vice President Joe Biden,2020-09-30 01:18:37,They sure do.
President Donald J. Trump,2020-09-30 01:18:37,"47 years, you’ve done nothing. They’re understand."
Chris Wallace,2020-09-30 01:18:40,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
Vice President Joe Biden,2020-09-30 01:19:33,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?"
Vice President Joe Biden,2020-09-30 01:20:30,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
President Donald J. Trump,2020-09-30 01:20:43,Wrong.
Vice President Joe Biden,2020-09-30 01:20:43,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.
President Donald J. Trump,2020-09-30 01:20:57,Wrong.
Chris Wallace,2020-09-30 01:20:57,"Sir, it’s his two minutes."
President Donald J. Trump,2020-09-30 01:20:57,It’s so wrong.
Vice President Joe Biden,2020-09-30 01:20:57,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
President Donald J. Trump,2020-09-30 01:21:30,"So, if we would have listened to you."
Chris Wallace,2020-09-30 01:21:31,"Wait, wait. You have two minutes, sir."
President Donald J. Trump,2020-09-30 01:21:31,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute."
Chris Wallace,2020-09-30 01:22:06,"Sir, it’s his two minutes."
President Donald J. Trump,2020-09-30 01:22:07,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job."
President Donald J. Trump,2020-09-30 01:22:54,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe."
Vice President Joe Biden,2020-09-30 01:23:15,I know how to do the job. I know how to get the job done.
President Donald J. Trump,2020-09-30 01:23:18,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
Vice President Joe Biden,2020-09-30 01:23:25,"14,000 people died, not 200,000."
President Donald J. Trump,2020-09-30 01:23:27,"A far less lethal disease, by the way."
Chris Wallace,2020-09-30 01:23:32,"Sir, you made a point. Let him answer it."
Vice President Joe Biden,2020-09-30 01:23:33,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
President Donald J. Trump,2020-09-30 01:23:57,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe."
Vice President Joe Biden,2020-09-30 01:24:03,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist."
President Donald J. Trump,2020-09-30 01:24:25,"You don’t trust Johnson & Johnson, Pfizer?"
President Donald J. Trump,2020-09-30 01:24:40,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives."
Vice President Joe Biden,2020-09-30 01:24:47,God.
President Donald J. Trump,2020-09-30 01:24:48,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them."
Chris Wallace,2020-09-30 01:25:03,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
President Donald J. Trump,2020-09-30 01:25:07,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
Chris Wallace,2020-09-30 01:25:14,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield."
President Donald J. Trump,2020-09-30 01:25:18,Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.
Chris Wallace,2020-09-30 01:25:24,"I’m talking about when it’s generally available, not-"
President Donald J. Trump,2020-09-30 01:25:25,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-"
Vice President Joe Biden,2020-09-30 01:25:36,This is the same man who told you-
President Donald J. Trump,2020-09-30 01:25:38,It’s all set up.
Vice President Joe Biden,2020-09-30 01:25:39,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
President Donald J. Trump,2020-09-30 01:25:49,"That was said sarcastically, and you know that. That was said sarcastically."
Vice President Joe Biden,2020-09-30 01:25:53,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
Chris Wallace,2020-09-30 01:26:14,"Mr. Vice President, I want to pick up-"
President Donald J. Trump,2020-09-30 01:26:15,You’ll have the vaccine sooner than that.
Chris Wallace,2020-09-30 01:26:16,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
Vice President Joe Biden,2020-09-30 01:26:43,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.
Chris Wallace,2020-09-30 01:26:50,But you’re saying you can’t-
Vice President Joe Biden,2020-09-30 01:26:51,Everybody knows-
Chris Wallace,2020-09-30 01:26:51,Or Senator Harris is saying you can’t trust the scientist.
Vice President Joe Biden,2020-09-30 01:26:53,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-"
Chris Wallace,2020-09-30 01:26:57,"She said that public health experts quote, “Will be muzzled, will be suppressed.”"
Vice President Joe Biden,2020-09-30 01:27:01,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-"
President Donald J. Trump,2020-09-30 01:27:16,We spoke to the scientists that are in charge-
Vice President Joe Biden,2020-09-30 01:27:18,By the way-
President Donald J. Trump,2020-09-30 01:27:18,… they will have the vaccine very soon.
Chris Wallace,2020-09-30 01:27:20,Let him finish.
Vice President Joe Biden,2020-09-30 01:27:20,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
